tap  ,   val                ,   val_fi ,   bin_fi         ,    val_norm            ,   val_norm_fi ,   bin_norm_fi    , what_it_is
h_16 ,   0.0517766952966369 ,   0.0508 ,   00000000001101 ,    0.00467948361376892 ,    0.0049     ,   00000000001010 , h_15
h_15 ,   0.0862481010174789 ,   0.0859 ,   00000000010110 ,    0.00779494660904313 ,    0.0078     ,   00000000010000 , h_15
h_14 ,   0.0380602337443566 ,   0.0391 ,   00000000001010 ,    0.00343981474913677 ,    0.0034     ,   00000000000111 , h_14
h_13 ,   -0.030435781114723 ,  -0.0312 ,   11111111111000 ,   -0.00275073057835455 ,   -0.0029     ,   11111111111010 , h_13
h_12 ,   -0.103553390593274 ,  -0.1055 ,   11111111100101 ,   -0.00935896722753784 ,   -0.0093     ,   11111111101101 , h_12=h_8
h_11 ,   -0.163084141546350 ,  -0.1641 ,   11111111010110 ,   -0.0147392482980907  ,   -0.0146     ,   11111111100010 , h_11
h_10 ,   -0.191341716182545 ,  -0.1914 ,   11111111001111 ,   -0.0172931165339322  ,   -0.0171     ,   11111111011101 , h_10
h_9  ,   -0.174185902227158 ,  -0.1758 ,   11111111010011 ,   -0.0157426052503294  ,   -0.0156     ,   11111111100000 , h_9
h_8  ,   -0.103553390593274 ,  -0.1055 ,   11111111100101 ,   -0.00935896722753784 ,   -0.0093     ,   11111111101101 , h_8
h_7  ,   0.0209044197889700 ,   0.0195 ,   00000000000101 ,    0.00188930346553395 ,    0.0020     ,   00000000000100 , h_7
h_6  ,   0.191341716182545  ,   0.1914 ,   00000000110001 ,    0.0172931165339322  ,    0.0171     ,   00000000100011 , h_6
h_5  ,   0.392486091473252  ,   0.3906 ,   00000001100100 ,    0.0354721795811597  ,    0.0356     ,   00000001001001 , h_5
h_4  ,   0.603553390593274  ,   0.6055 ,   00000010011011 ,    0.0545480584485922  ,    0.0547     ,   00000001110000 , h_4
h_3  ,   0.801033831187822  ,   0.8008 ,   00000011001101 ,    0.0723959817373943  ,    0.0723     ,   00000010010100 , h_3
h_2  ,   0.961939766255643  ,   0.9609 ,   00000011110110 ,    0.0869383676929720  ,    0.0869     ,   00000010110010 , h_2
h_1  ,   1.06703338142071   ,   1.0664 ,   00000100010001 ,    0.0964365376178610  ,    0.0967     ,   00000011000110 , h_1
h_0  ,   1.10355339059327   ,   1.1055 ,   00000100011011 ,    0.0997371496696465  ,    0.0996     ,   00000011001100 , h_0
h_1  ,   1.06703338142071   ,   1.0664 ,   00000100010001 ,    0.0964365376178610  ,    0.0967     ,   00000011000110 , h_1
h_2  ,   0.961939766255643  ,   0.9609 ,   00000011110110 ,    0.0869383676929720  ,    0.0869     ,   00000010110010 , h_2
h_3  ,   0.801033831187822  ,   0.8008 ,   00000011001101 ,    0.0723959817373943  ,    0.0723     ,   00000010010100 , h_3
h_4  ,   0.603553390593274  ,   0.6055 ,   00000010011011 ,    0.0545480584485922  ,    0.0547     ,   00000001110000 , h_4
h_5  ,   0.392486091473252  ,   0.3906 ,   00000001100100 ,    0.0354721795811597  ,    0.0356     ,   00000001001001 , h_5
h_6  ,   0.191341716182545  ,   0.1914 ,   00000000110001 ,    0.0172931165339322  ,    0.0171     ,   00000000100011 , h_6
h_7  ,   0.0209044197889700 ,   0.0195 ,   00000000000101 ,    0.00188930346553396 ,    0.0020     ,   00000000000100 , h_7
h_8  ,   -0.103553390593274 ,  -0.1055 ,   11111111100101 ,   -0.00935896722753784 ,   -0.0093     ,   11111111101101 , h_8
h_9  ,   -0.174185902227158 ,  -0.1758 ,   11111111010011 ,   -0.0157426052503294  ,   -0.0156     ,   11111111100000 , h_9
h_10 ,   -0.191341716182545 ,  -0.1914 ,   11111111001111 ,   -0.0172931165339322  ,   -0.0171     ,   11111111011101 , h_10
h_11 ,   -0.163084141546350 ,  -0.1641 ,   11111111010110 ,   -0.0147392482980907  ,   -0.0146     ,   11111111100010 , h_11
h_12 ,   -0.103553390593274 ,  -0.1055 ,   11111111100101 ,   -0.00935896722753784 ,   -0.0093     ,   11111111101101 , h_12=h_8
h_13 ,   -0.030435781114723 ,  -0.0312 ,   11111111111000 ,   -0.00275073057835455 ,   -0.0029     ,   11111111111010 , h_13
h_14 ,   0.0380602337443566 ,   0.0391 ,   00000000001010 ,    0.00343981474913677 ,    0.0034     ,   00000000000111 , h_14
h_15 ,   0.0862481010174790 ,   0.0859 ,   00000000010110 ,    0.00779494660904314 ,    0.0078     ,   00000000010000 , h_15
h_16 ,   0.0517766952966369 ,   0.0508 ,   00000000001101 ,    0.00467948361376892 ,    0.0049     ,   00000000001010 , h_16